ï»¿uid,modus,spieler1,spieler2,legsspieler1,legsspieler2,avgspieler1,avgspieler2,dartsspieler1,dartsspieler2,doppelversuchespieler1,doppelversuchespieler2,highscorespieler1,highscorespieler2,highcospieler1,highcospieler2
1,3,Wiesnhans60,Hase4,1,2,48,60,95,97,10,8,140,120,40,56
2,3,Herminator9247,Juju1337,5,2,40,"39,8",95,97,10,8,140,120,40,56
3,3,Wiesnhans60,Juju1337,3,7,"47,5",40,95,97,10,8,140,120,40,56
4,3,Herminator9247,Hase4,1,2,38,42,95,97,10,8,140,120,40,56
5,3,Wiesnhans60,Herminator9247,2,1,"47,5",52,95,97,10,8,140,120,40,56
6,3,Hase4,Juju1337,1,2,33,"41,3",95,97,10,8,140,120,40,56
7,5,Wiesnhans60,Herminator9247,3,2,33,"41,3",95,97,10,8,140,120,40,56
8,5,Hase4,Juju1337,3,2,33,"41,3",95,97,10,8,140,120,40,56
9,5,Herminator9247,Juju1337,3,2,33,"41,3",95,97,10,8,140,120,40,56
10,5,Wiesnhans60,Hase4,3,2,33,"41,3",95,97,10,8,140,120,40,56
